Name,Address,Type,Description,Image_URL
Market Square,"655 N Western Ave, Lake Forest, IL 60045",Cultural / Historical,"Market Square is the heart of downtown Lake Forest and one of the first planned shopping centers in the United States. Its charming architecture, local boutiques, and cafés make it feel both historic and lively. It’s the kind of place that makes the town feel connected and community-driven.",https://images.squarespace-cdn.com/content/v1/580fbd69893fc0d20d2cf5ec/1480700546467-ZJ63I9YT97ZPWYESV0QP/MktSquare_OKWCable_9458.jpg
Lake Forest Beach,"1110 N Lake Shore Dr, Lake Forest, IL 60045",Recreation / Park,"Lake Forest Beach offers stunning views of Lake Michigan and is a peaceful place to unwind. The walking paths, sailboats, and open shoreline make it feel calm and expansive. It’s especially beautiful at sunset and feels like a hidden escape within the suburbs.",https://graymalin.com/cdn/shop/files/Lake_Forest_Beach_Day_iqzmmm.jpg?v=1712257122 
Elawa Farm,"1401 Middlefork Dr, Lake Forest, IL 60045",Cultural / Historical,"Elawa Farm blends history, sustainability, and community all in one space. Originally built in the early 1900s, it now hosts local markets, educational programs, and seasonal events. It’s a meaningful spot because it connects Lake Forest’s past with a focus on local food and community engagement.",https://images.squarespace-cdn.com/content/v1/602c1ed7cafd722aa3b97ca7/8d09028d-a813-4c8f-9d40-6d41ccc91063/Hay+Barn.jpg 
Lake Forest College,"555 N Sheridan Rd, Lake Forest, IL 60045",School,"Lake Forest College is a small liberal arts college with a beautiful lakeside campus. The tree-lined paths and historic buildings give it a classic collegiate feel. It plays an important role in the town’s culture and brings energy, diversity, and academic life to the community.",https://www.lakeforest.edu/Public/OCM/1600x900_Homepage/Aerial_4_1600x900.jpg 
Dickinson Hall,"100 E Old Mill Rd, Lake Forest, IL 60045",Recreation / Community,"Dickinson Hall is a community center that serves as a gathering place for elderly residents. It hosts events, fitness programs, and social activities that strengthen local connections. It represents the town’s commitment to community involvement and active living.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjYgQPGcN8TjV0ZDYS20fNAJhYRseJXUmIeqCQFdPoYMERs-iM9Fbu9eOuULAhswZZtjnEPcUuU48Kp5gm2P3lvDUDEN7ay5dJFIVXN6tQJ7-9iKvoudobaf5DYYTtO96I_TXiCnXSSa1Uf/s1600/SRBall-LCN-031212-4.JPG 
Crab Tree Farm,"3 Eastwoods Rd, Lake Forest, IL 60045",Historical / Cultural,"Crab Tree Farm preserves historic architecture and traditional craftsmanship in a peaceful, pastoral setting. Visitors can explore restored barns, gardens, and exhibitions focused on early 20th-century design. It feels quiet and intentional, offering a slower pace that highlights artistry and heritage.",https://vinci-hamp.com/wp-content/uploads/2016/04/Crabtree-1.jpg 
Deer Path Inn,"255 E Illinois Rd, Lake Forest, IL 60045",Restaurant / Hotel,"Deer Path Inn feels like stepping into an English countryside estate right in the middle of Lake Forest. The elegant dining rooms, afternoon tea service, and cozy fireplaces make it perfect for special occasions. It blends historic charm with a refined, welcoming atmosphere.",https://symphony.cdn.tambourine.com/deer-path-inn-redesign/media/dpi-exteriors-front-entrance-220650-2477-lr-663570c75e50b.jpg 
Starbucks (Market Square),"724 N Western Ave, Lake Forest, IL 60045",Coffee Shop,"Located in Market Square, this Starbucks is a central meeting spot for students, families, and professionals. It’s always buzzing with energy, especially after school or on weekend mornings. It feels like a small-town hub inside a national brand.",https://images.squarespace-cdn.com/content/v1/5b5a3e9f0dbda3bd2f57b18a/1532714534324-PA76GTTQEMDHKLK21S97/Lake+Forest+2.jpg?format=1500w 
Hansa Coffee Roasters,"24 E Scranton Ave, Lake Bluff, IL 60044",Coffee Shop,"Just minutes from Lake Forest, Hansa Coffee offers a cozy, community-focused atmosphere. The locally roasted coffee and warm interior make it feel personal and welcoming. It’s a quieter alternative for studying or catching up with friends.",https://s3-media0.fl.yelpcdn.com/bphoto/P5QpfLhl3M9DUltcmQ3qNQ/348s.jpg 
West Park,"1525 N Waukegan Rd, Lake Forest, IL 60045",Park / Recreation,"West Park is one of the largest recreational spaces in Lake Forest, featuring sports fields, tennis courts, and open green space. It’s a major gathering place for youth sports and community events. The energy here reflects the town’s active lifestyle.",https://upload.wikimedia.org/wikipedia/commons/f/f7/West_Park_Pavilion.JPG 
